Age,Annual_Income,Credit_Limit,Credit_Utilization,Late_Payments,Outstanding_Balance,Loan_Amount,Credit_History,Employment_Years,Risk
22,25000,5000,85,6,4200,8000,1,1,High
25,30000,7000,75,5,5000,10000,2,2,High
28,35000,8000,65,4,4500,9000,3,3,High
30,40000,10000,55,3,4000,8000,4,4,Low
32,45000,12000,45,2,3000,7000,5,5,Low
35,50000,15000,35,1,2500,6000,6,7,Low
40,60000,20000,30,1,2000,5000,8,10,Low
45,75000,25000,25,0,1500,4000,10,15,Low
23,27000,6000,90,7,5000,12000,1,1,High
27,32000,7500,80,6,4800,11000,2,2,High
29,38000,9000,70,4,4300,9500,3,3,High
31,42000,11000,50,3,3500,8000,4,4,Low
34,48000,13000,40,2,2800,7000,6,6,Low
38,55000,17000,32,1,2200,6000,7,8,Low
42,65000,22000,28,1,1800,5000,9,12,Low
48,80000,30000,20,0,1000,3000,12,18,Low
24,29000,6500,88,7,5200,13000,1,1,High
26,31000,7000,82,6,4900,11500,2,2,High
33,46000,12500,42,2,2900,6500,5,6,Low
37,53000,16000,36,2,2400,5500,7,8,Low
43,68000,23000,26,0,1600,4000,10,13,Low
50,90000,35000,18,0,900,2500,15,20,Low
21,22000,4500,95,8,4000,10000,1,0,High
28,36000,8500,72,5,4600,9000,3,3,High
36,52000,14000,38,2,2600,6000,6,7,Low
41,62000,21000,27,1,1700,4500,9,11,Low
46,72000,27000,22,0,1200,3500,11,16,Low
